Gene.Name,Group4,Group1,Group4.1,Group4.2,Group1.1,Group4.3,Group4.4,Group1.2,Group4.5,Group1.3,Group1.4,Group1.5,Group4.6,Group4.7,Group4.8,Group1.6,Group1.8,Group1.9,Group1.10,Group4.9,Group1.11,Group4.10,Group1.12,Group4.11,Group1.13,Group1.14,Group1.15,Group1.16,Group1.17,Group1.18,Group4.12,Group1.19,Group4.13,Group1.20,Group4.14,Group1.21,Group4.15,Group4.16,Group4.17,Group4.18,Group1.22,Group1.23,Group1.24,Group1.25,Group1.26,Group1.27,Group4.19,Group1.28,Group1.29,Group4.20,Group1.30,Group4.21
CD69,2762898.053,0,0,4179787.053,0,3675025.165,0,0,0,1273005.412,0,1642161.306,0,0,0,0,1477416.986,0,1938094.383,2774538.932,2300388.111,0,2733904.418,2075283.54,2523753.491,2676787.917,2745135.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCT5,0,2420334.72,1772950.715,1801316.123,1847473.699,3735056.666,1268111.562,1393869.673,1380313.743,555683.4353,2665673.746,1446483.51,0,2369540.609,1399635.603,0,0,3290077.944,0,0,0,0,6902484.209,0,1550509.245,0,0,6968066.798,578507.8589,1006853.454,0,0,0,0,0,1017825.704,0,707902.3913,2352904.563,2808277.957,0,0,0,0,3807775.256,2420294.211,2386415.611,0,0,0,6215236.956,1900456.356
TST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932378.0128,0,0,0,0,0,0,0,0,0,0,0,0,0,1218253.918,0,0,0,0,839717.1446,0,0,0,0,0
OLA1,0,337973.1185,0,0,0,3050063.177,289799.1951,0,0,939112.5253,838591.6643,522981.7196,5167284.07,0,553644.1979,0,1975488.753,1473656.189,1359869.337,0,0,0,2338770.224,2000397.877,0,1413604.269,301398.1239,5223721.216,0,0,577625.7243,2744196.823,1856528.273,1873413.383,466517.1894,0,482439.7852,466047.7063,0,2446250.987,1452656.889,649835.1099,527929.3058,0,1189226.384,2570628.186,0,0,681035.0463,1299226.051,1343230.745,0
MIF,1375566.16,1279560.695,893884.2013,0,0,5499651.683,0,0,0,902357.6797,8315490.571,1452650.258,0,5098718.309,1847261.939,0,3262408.899,16274495.05,8799889.042,2056927.254,6164744.61,0,10222828.75,5075098.393,11439455.01,9696826.238,8540247.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD40LG,1189305.872,0,0,0,0,3915339.897,0,0,0,0,2707598.648,1304983.658,0,13978775.58,0,1202705.833,0,6212709.417,3966877.272,677234.7223,0,1057816.343,8154945.011,3062302.494,4433392.988,5074028.236,4330837.581,7025596.715,0,0,0,0,0,0,0,0,1768821.25,0,1445281.634,7021730.251,0,1938818.21,0,0,3878383.163,3427932.489,1644102.2,2442409.369,0,775456.9002,4465079.17,0
CRYZ,0,1246854.12,0,0,0,0,0,0,0,0,0,0,0,0,0,2472628.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620922.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYO1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248371.676,823800.1305,2003684.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424639.8653
DECR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407111.128,2233999.833,0,0,0,0,0,0,0,0,0,1413849.475,2091953.224,0,0,0,0,0,0,0,0,0,0,1093290.656,0
ASAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207321.098,0,0,0,0,0,0,0,0,0,0,0,1042691.828,0,0,0,0,0,513110.1499,0,0,0,0,0,0
CAB39,381011.9819,0,0,0,0,0,0,0,0,0,980755.8307,0,360475.4473,1596350.365,0,0,0,2045024.118,2432317.732,0,0,0,1439314.653,0,1276359.584,3548842.414,2577700.944,5789210.62,0,0,0,0,174114.8161,0,0,140606.3113,0,0,895876.0994,2861423.46,0,0,0,0,720087.1207,5249869.294,99084.96669,2321898.743,2611930.107,1892057.263,1289289.615,1401722.102
PPP1CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21945.99751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11157.42677,0,29453.6207,0,0,0,0,0,0,0,0,48135.07294,0,0,0,0
TRAF6,0,1768952.938,0,0,1335481.11,925762.5143,0,0,0,0,2153164.686,3467380.885,1844501.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628713.997,0,1542946.857,0,1439418.56,0,0,0,0,1163718.649,0,0,0,0,0,0,0,0,0,1833136.515
RTN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCGB1D1,0,0,499126.5386,0,0,0,0,0,0,0,1056170.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221886.735,0,0,0,0,0,0,1750854.489,952617.672,944619.4581,3462298.317,0,0,1302506.722
MBLAC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP112,0,1283406.629,1251666.316,1385575.061,1543488.432,0,0,1985338.211,0,5008256.446,0,974306.3202,0,0,1477479.887,0,0,0,0,0,0,0,0,0,0,0,0,0,2133824.947,0,0,5078222.781,0,2599748.57,1226333.777,0,1276860.289,2043953.737,505418.275,0,0,0,2643329.269,1166961.585,0,312451.7381,903226.0596,0,391530.3597,1972632.053,1013075.437,212605.0116
HMGB2,0,1055881.223,1652214.107,0,0,0,0,0,0,687133.6105,3165583.374,0,0,0,0,0,2573048.047,1148668.472,2529478.392,0,0,0,0,0,0,2327299.32,2979862.14,2268518.381,0,0,0,0,0,0,0,1014894.728,0,0,0,0,0,2838187.772,0,0,0,0,1720010.36,0,910597.3018,0,0,1338698.263
PPM1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670339.771,0,0,0,0,0,0,0,312021.7139,207030.2646,194406.7446,0,1142260.126,0,0,0,0,0,382346.3431,595664.9992,0,0,723971.6139,0,0
HDAC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUCA1,0,0,0,0,0,0,1426732.709,0,1372691.195,1523675.711,2474253.612,0,0,0,0,0,0,0,0,0,0,0,0,284654.3482,0,0,1531665.771,2332373.549,0,0,0,0,0,0,0,2182304.718,0,0,1095715.799,0,750177.401,0,0,0,0,0,2283750.782,0,0,0,2897533.468,0
